address,ath_mc,ath_token_symbol,ath_token_address,last_token_date,token_deployed,avg_tokens_per_day,avg_market_cap,median_market_cap,total_creator_fees,realized_pnl_usd,total_pnl_usd,winrate,launchpads_used
DEVVePbNDtcMNnQ4oN9U3tT5a6qiefArnZu1dEtrvPxD,72083.794,farm,BGpyHVivUQuPUE8P6bbp4syUxcrv5zV2Rr7wQgbG6v6m,2026-02-18 13:41:01,394,2,2543.73,2414.29,12.103862,36432.22,36305.08,31.49,"Pump.fun, bags, bonkers, letsbonk, pump_mayhem"
D6bTtoSgLknJ9KrgDFUtB5WpqomrNEjBJipVVRoFh2DC,552881.6246,FloodKid,3NuDSHrNF84WWmz77Xjq2tRhjQfWBSNiu6q4H3Wppump,2026-03-22 1:39:13,393,2,2861.88,2538.07,11.753626,229352.93,229352.93,79.11,"Pump.fun, bags, bonkers, letsbonk, pump_agent"
CovFJgtvrMuoKoW2U6W4RqXpwjaie9iZvMNK4hpMc5CJ,1746367.796,urgay,BPiz36uNt76RjmfH2ZLFD7xAnB4QJ1roh1q86NHupump,2025-12-30 18:43:09,391,2,4474.63,4471.45,4.745355,16136,16136,70.72,Pump.fun
DVhwSE98dHBtEGnQcYyAiEzE2XFjGnGwwuv9n1Ypnre9,5245059.337,CONCLAVE,C8rtqbshDpUFnJ3K5R15TP7UGuR8nQbbvsinpK5cpump,2026-03-21 23:47:12,389,2,2747.5,2649.55,0.200935,12062.77,11722.67,19.43,"Pump.fun, letsbonk, pump_agent"
BkggYztv2wWiVPMcjjaqUiPNrUUsKF1D2ndNy4zBWw58,4034.4889,READ,325B8a54wnXNg7oMLHUR6ZqWwrNqf16sF77N5zT8PFyZ,2026-03-22 0:29:34,379,2,2439.52,2441.63,0.00015,19905.11,19905.11,23.72,Pump.fun
5SHDP8NgLMegGCKSAQF775DR6JaQa2XxjkXq9xhGEd6,1965211.808,SLEEPLESS,4SngaZ3N9ELjCqh6P3MeA3r4Hi2Dx1MDn2H4ijcDbonk,2026-02-16 11:12:29,379,2,2384.48,2361.49,3.903981,25380.97,25380.89,32.9,"Pump.fun, letsbonk"
CBStSgJhEm3MUNdawNydxPUMTs7PRdpS7YU2ykRdrteY,173718.39,GRACE,DdGNpQqUiVMu6EnE8HeEfDDSiLQZQratbtxtGAFfpump,2026-02-18 19:50:20,377,2,266.18,0,36.280329,8298.36,8298.36,5.22,Pump.fun
HfuZ4EvaPvCGqTNxTZaS2bhSZbRF4gzKGH7PhDbDuaKw,677519.5503,NYC,6rZfGFiHydm1RQfE1i7hhSdsZAE57bAK7ydQvA49BAGS,2026-03-19 18:43:37,377,2,2516.84,2454.51,131.245519,87329.67,87329.67,53.71,"Pump.fun, bags, bonkers"
9Gg6Mf8tq9zLSpK8qccrQiue3iE7wmyeogKkGZpnz2w5,1500037.9,TITANIA,CmD22MDtNzyeFfwAGZzqVmvqyCFikUi7F2uY9iB9jups,2026-03-21 22:05:56,376,2,2762.96,2641.78,0.748413,124657.58,124661.45,23.35,"Pump.fun, jup_studio"
C4HHSBCibHryJ6Dbtr4z3Jxh6vocx5UJ2kNprhVksBDj,1315667.7,NANO,Ayif4n783bT6b6TvXoVEaQs8ozf4chYJgjnTaGeDpump,2026-02-09 17:42:57,373,2,3642.36,3612.43,297.357097,321715.43,321715.18,59.02,"Pump.fun, letsbonk"
J69oeraNhBBD5Assk6RPAbdCCVvaVmtDYQjAtd3qvvFs,37132.503,SCHAN,Dwp4t1Cuuf5tH5VChvpzNu532fPrxyKf2fKeDUfRpump,2025-12-22 17:29:45,367,2,3765.37,3774.16,16.889958,-1257.62,-1258.96,34.76,Pump.fun
BdKwQbbw2rgdMPZSGR2xHsGBpbzx5FG44tUSt6BG8ykM,2591451.448,Clutch,BUF3TvvZfCMMWaPZJMTGm5WWVmi2arQ9Swze4CPEbonk,2025-10-04 0:18:03,366,2,9045.08,6523.81,4.861943,23495.63,23495.63,20.49,"Pump.fun, letsbonk"
4u3Baa6znzQ6pjQRLii8KV9tRhtNuXCqwVcY3b6nNpaZ,3729668.306,CODEPUTER,BqyjVnfh4WaTXC23wyNnB8EMhJXUZDqJKvZnNagY9Exp,2026-03-18 16:14:38,366,2,2650.45,2418.25,0.303892,1070394.48,1069903.77,32.06,"Pump.fun, letsbonk"
AWmA47YFcTSeTKfjn6nwhWm9GVncWuALP3mxCj2mQJYZ,176648.75,GoonGPT,A1KRwSg4vKs1Ki1R7DZExaijQrSsgU7QYztYY4aQpump,2026-01-30 8:45:02,365,2,3872.51,3867.04,52.74603,17225.25,17225.25,42.8,"Pump.fun, letsbonk"
