Account,Token Account,Quantity,Percentage
9y4ZyeoEbBTxDssCGTEhcvdYBc3BAdAL4TXXHJZbG9ga,923fZhpR3NB3n9rKbnsfMbYhVcNaeza1TspyLR4d1qAH,9693604.12315362,0.97
2Nw5naSiNTNfVE8nQF9FTGwVHfPheH45o6Rb3i1GjZm6,2NC3kRuiJJYoKDGfhybJ7xALPgughA8d6qmmpnVDLqrh,9507213.170271896,0.95
8yd6JWsRBqpfDgtEt3uvDCxnYFkVHZimefrX33GKAY9E,Agsv1aygxytQbv382pwQqput8GAhgTPj2aggyx6zZGv3,9268828.298289835,0.93
6pCjijfb14dJf4HbLULXXVZc7DjFyWYC134opbaUygTX,9LXmjM7R4DdtYQhMe4EEVS5ivbiuivxvj7SocDBzaBMj,9000000,0.90
FgeSytRMJeChv89chMMybz4hGcbVVKFGGE9WJkVZXesR,2x42b9nmngJLvPecU7oQvqDD1LLFvnFsY6AohbgpxQi2,8858250.150387377,0.89
DCZ2cpeMn45H9ZfJHxC7KWi62h24AGEwsNbDE2L17LeE,6CnqpvWNaZ79gKkUiExHkdhBiXYz2h6m8C1REbUajN5K,8689559.506125586,0.87
FLG8KvmmuUERXGR7b8RDUbF31BNdV5imm6pPM9VmenXK,BDVkabn4m9SPepYxGJm8nCH4rkXTdY3YL3zvmULtuXdw,8281833.313810667,0.83
FAJCfqgZHDDQoJg7FgGjZVxKxJpCRxLfe84E9eaHcBG9,7s9qJrcZ9WK8TP5XyGAjwk1TauFaQk2omX95kCL6sbXC,7736807.025525302,0.77
3h9RA9pApQfwkAMCRwA4uRdAGL94PbMGMQQJzsAXd58c,4CL9CjGHQYQbfMhAe8bmt11et3cu2aGAQajz4r1uJqBQ,7673730.832701214,0.77
2pT6gSDvY7RvNeE3YpCdBJKr8VV3tStsAAvYzuuVESGG,G8i17JppWoPDqak1WDfosBsu4WoPTiF3b9FpFeDB8ZeM,7577158.612792084,0.76
5V4RVd9NeZdzWicwmKPxn6cqZyj4KPmnWsSR7Qt4BaEG,4HVJkdbteVSTF8MCvknBe6bh4riuN5uf6CUtpPeYyV8T,7332840.340636944,0.73
8EWS9VME69oBvsbi395uHaryx9vuZN4wmxwubmdNCPHM,6EAtFgQP2r9cfy72PY81W4ziqBBF4E6QpiQYj8DfHNCg,7300000,0.73
