Account,Token Account,Quantity,Percentage
E5gqXEEcrLijTXgUmkx3by44rbivEngVYS5z9migyns,2zWyWntH1DHRCd9KNRWth8jJj7LtX63yoSD4zAUCBDwL,1000000,0.10
13d4ALdWiRfoDyWEX4PqhDQivnEAB3cvYjqpFiPzT9G3,ArJ6bLxaT8ka5vDER6Sibbxw6MXqupYYtdJMjbVdRtzC,1000000,0.10
7Wu6BGRGzSKJkAJxTsvRoXDb4J2dyWuuNnfoFw3US8Fq,7DHdZ71vS8jGHamp7QSnfW2wzjvcZE1c8rTrwMLuC9X2,1000000,0.10
GDhjQy8Ei25C5WWEJqAQfjUv55nCqrYNVf23bcZsL92m,AKzYs1JFRkNhLxayvX4w4dXq29TC68LTH8Yf7c1TYhhZ,1000000,0.10
Gvj7W3iLScHfSGxWst2ALphrRmjfP5e7QnkonVffzji4,9G83zaLA6XjFN98B6KNpcmPrWMqBodEDewr1yXEGTh84,1000000,0.10
2nWgH1vvViQDGWRZBnRcVTMmk832Gmj7UozBgsHpe3pW,3Zrhfw59RmJHUtNuZT5FcfAGUxkjMsikCSQQpduDvcSP,999141.524738058,0.10
12qECqyJjU67Shu69YqEct56vwchqXExHuZAVAiAsmsC,kbrZZFC1WfAkM2U6HVNwTtNQkWAM451niaKahav6bVf,996385.984843867,0.10
CdRe7ySSFFWzzkxU1shtjzWo8Wrd3UUQuEEZoCE8ecPd,5SQrueArDC2tYQarst31QZY98G2Qo2zuZK6XkfAuaVBK,994191.01991405,0.10
6ooimYytafmRNuoTJN3BFsgLvM2VE4DyJ5MuMnMwnDPt,63w9tfYfTknK1bByycLnxYTwDaihvSst9Pois9Khq1Gv,956876.711728565,0.10
AA1DnMFWX6AE4mp6Edn7rC3bwST4S2Sm2Rys2PDaiqeS,GjJsHe44CnGvsHCCEgJVmekdouDHKwrtMMbMvTtvYRdS,948206.286066022,0.09
3QfcUGk5a11HSFmBLBaK4qgLPKs89rr8ejqebUri7vyW,CxJXS7vbFCGEQrGHojHhL6hTfU393N3V4nFm97mqg6XY,915717.325205361,0.09
4qDVbJZTxA5L4x2jKWw3NayZL17t7vnYertTB84jpaSU,Ai4emKnviQjQH7EuG5EbzwYpL9vYTQkJAePHHdxxtkZ5,905035.817256019,0.09
4HfubjD29sGFJZS3kMEr6gvZoukFpejd64cAD27xerwG,8nwzHDQe94YCPPCMtRUbt8ndxecSQ6Zh9EMrPi9XnQEJ,892342.187774526,0.09
2h2zANs9Xp4XeMm1AkCAbFfjcsupmeL8VQNhnwdUf42G,Bpg6dRA89kon5TAiv8TMx5FHsNhYsZrnUuCZs4ZzhWy7,876037.827592339,0.09
HCtQbcS63QKLtEAGzLLBmtVdvffQRXhTVGz9i1ENhQFw,HyxB5RmVDq9o5dCoQjfwk1HxcPZLPQWSXfxkpe4pkcjt,870541.626832228,0.09
4jL8yF2YHC3rSUsZzN5W3nNKCXh3VMCtViCfjq2cE1HR,Bgoc76p6oFgvVaVKo2ppuESyQUGgV3dvEh2ALzrkw74f,808813.341077933,0.08
3qGhKobKUMyj5xvLDHdgyXyzS9Nwqz7WKwEKLTA46cMB,DpT3NDEZwu2pWLtmi1GvBhu6EscQsZGwKMkpdhFWX8uS,807435.034448105,0.08
YZKZ7Xq5G34Uisp5jXz6bry8m3XYAfh4Lh8iPVnVJWd,BRXfW55wnNErdsdQULUoPvuoMHu4r5ijCR6hkzhYjGab,779332.13478363,0.08
3DuHMgCS7NWR93MLhi1TLDMRr3mSUbYEgDtLxWKD1qF1,ErAzfvwqLUVGqzPsEU9KDFGW1nDQ8Ydq35pyBZW9QGdi,737049.766949242,0.07
2kPafPBVboyiicpeRSmFG2ePREoGP9mNSqWqZWXybJQ5,76UoDdu6Wy4iTsPWtpCTLt8haPPLnPxPEWSaLKZmVMda,728663.377954493,0.07
DCkNKMYGZo3hiD5Gn3xSZwjuj9UPcRSbRkcMhHcWwU9u,39H342pgMMrNhtEgVvDKXukAVBrrSCjfzypnsYZLMviT,727875.197223899,0.07
EBrTRojR1VfaZLs7eu94V7g7kZWQ7bLSK4LpkGf7F4Pe,3dnbWyHLykNghbQCPMiwSQ75RALyF4AR7yqnzo8sX9rh,724701.879764034,0.07
7xXiuP73t7ySww3P8JmHh1QArT4fnbZXHV2b5WX8HwSD,CVsKqpRu6paTmgEfZoHM91T567v9RjKQggYzSqNapKpC,721587.747089088,0.07
9w49N3AQ2MVpHiC16bQHKCxfsFw9cQ7dkCPRryTE3yah,Aqnd9ZiAkYwPri9wNjeEccjgRfgExCQUotHD8wixQFtP,707394.413792286,0.07
5NiS4bDjsDVG8rkwU8NEhDrQx2aDfa8PZ8oMTo33itpf,6gFfstRu6RbrYPaW2hP4LmbJWmrZCjmXL4oDST16gZsT,685907.795998779,0.07
4MgytQ6rJLnCvVtq3ijiekq9B9iwVF7Lce9tZcAndWho,BPecqKQEo5rz1XvYMzQJa2gaS36Tu7nN9ept9vnLrCDp,670740.491339639,0.07
67mppGRw8PgNfwRfFiffVQCN4AscMJamVw3KXvRqbXjX,Dw4jUnEfj7FWPL7ge7MRz68RuQjpwSk6oyGrQjPzpRUD,656124.405525959,0.07
84P9iTscJjKTAjZPEF93Ta49igT1VBoyqCQ9FVLqxxh2,GDRr9xz1hduMy7hbdCTz9qGcDu7oSFhLquRsf7dLA1VV,653132.706706884,0.07
4jHoifLvKPsSRqDdaig8ngKdKq5NppwVTBAEFm2yD4oU,9D926BPCuxKeUV2Le4szjCoBz4exFsFN2MLK3tvAyJg2,636520.496413205,0.06
EEHMxnkXZ9vbgRekLHbYQ7iwV5vpVrmevKBfSfbDu5NB,BB3NTHAZrX1hQXCfDBeWgQbepZ6eUM95GSENWMnr9poe,624283.264054181,0.06
8Ebu8Gcy3gMaDNG6H9BvcDdCwiToZCiiTDJ3f9MwM1Da,a7dTecdaCoxiMiXj8NHbhYSMxp13ik3hMpjDqfMg9vF,619864.388691136,0.06
FfPe9bZVV74Vc98r5CKjfDFmSFej3ungmQWL2pdVSJPv,Bqgs5SuPXnSiZDpA1QDkwjMnju1gqqarHpzAeMtoEfbz,618565.779655997,0.06
12h2Nqo87gfgbezi18D9uh952ja7SJL5FPXeHvoGTrW2,7drkqVXXowbDKpGdxt1hwrcjbZCZ9wsGR7ZwBKpdgVEG,616729.380030372,0.06
CLU3Rb4StPYNGDBRN4mtkTmR6G5YJTYsMW4yBNVKng9U,6kbiYLJ65qeZm7yLBeQyywbBjVF9JkM7C5mmMvmcmJJJ,602481.951503026,0.06
gb1ZfKaDEViGducjRSEaD1zigQ4x3r5caQPWoaiKMi5,Ez9yuDhBng384JA99ahPGi6xAYiWoJ4BPPBV2UF2m5ay,587828.759120726,0.06
GKJo33H89F3qF6WMNzf3cPtRdKRbB4R4fdMTNa5WB4JX,FrJ2Q2smPPqL87Bi7fXAz6bsVbe88rRkmbfrmsfQJX2h,582271.409460089,0.06
2n9Je3MqVpR77EEjWoMDSaHWUMek5fKtmM97gYN57uPu,79ieVPtsTqNfj8fn8G7NHZmqhi4L1AmkufRVzyXiY6Am,567922.258468426,0.06
5dXbyyMqotuKh3FZFchvJFD61j1woS4UhtXJTZHWszoJ,ACopiDsPNYfGntwHFVPvoVef84pNZbvToAKRGPJs6UGd,558801.273443427,0.06
9F7jXSVSvhSoJHVVwF8nD7mUxUkdZerEedwEUd2CyHdR,9fe6LFNekpveMGQj4QgQ4QRi2mxX2VcRpuy6fnUHmygC,556661.49608957,0.06
3YRA1kJYbj3kth1N9f7TksUZKZKSghuGPGHfqr4Yx22C,8RXbpxy3dTEGoGzCfcEJbMewkhgQ4JgYsgqF89Ems6gq,542136.243881575,0.05
C9zY6qqcKEKkrZyFEnxwZWdfqXgyaydL9rRVBtyLDkf9,8PyVL6gCw6BA9JZwLDmurHU9aVEr9VtwfJX98zG9Prow,501872.410158801,0.05
B6tBvTz8Gktc5hwfH6cTSvWSH6rBLyoSGjQ6VPt2nJhq,E1wvqESPArSqdwQb1JW2ng4e4vNyWQpNJQ7Zx9nxPaCy,501082.713867431,0.05
4hi4NTXczQmrRknZo3JceuPm6WmxqaHcFcSdi4riZzyS,AFjqUYiECEXb2CrFPtg9cYrHUH96dpqFvD8R9x6XLV38,500673.141847594,0.05
GhyBfwD1GxTaDg63N4RcTZor68BfZrXFKTNAZpjsEqNP,EdcPyioEjUsPLnBV5iirMeyhPwk3wV1aLPNCeKs7S1DR,500000,0.05
67woGYaibkpoWAx8tTn86mS1zcDCBCgggBhKYybhbPhV,5aappLC5Vjt1cXZhc28XKfHg1ZAnk6zEnTCXFQv9PDoj,500000,0.05
qgnpX8Nvw4Pp5swv6sGVBx51ov2gVWduifm4a6D3GqF,9NwsSYH7mFfTDn415bXGiwcnBfzUL6rL6cXvLETLFN6p,498302.806019703,0.05
CZbvud6LoBDsWgGmVQX31p3cC1EfpVLUjxS5PfirqUcL,2Q2CNK5rGqhRbynLzFCmJTeqQERDu5FZzgd3whwNycNX,491496.378409496,0.05
GUrc7asfJ2c1H5XNyEExxjabaEC35AJCVo8qNPUSPf4L,64GjLKcwGApfmpvwrMEXobEWGtVciQZXTKnjgh3iCRHY,484120.424830945,0.05
3wovHJ1bEcZqTVvgyfgncS8gS1ByEuvjcgwPUAy1MAZU,GMaP7JtSojR9Pd9dTF3c7QuZS3UJpUK7n7bAcm89D4Sw,476874.449201765,0.05
H1pVhNdhbKf74SaHXRz9BiL4VHavPaH1fZ9PjeiFRX1Z,6F6PVci4Wdx3BtuG97UhGvVK8zaoiVexmEzWJL9DSAXC,472964.686783596,0.05
4cBHFMHESdJUej9GC1xqPKUD5d6EgtZSNf5EW7Gb7pt5,FLYsPKuwQvR4KgXPi2UExLkGrWa5AcKNP8TV2CJhv9do,458928.080086094,0.05
BM9CcyErJcu2mjrFvUsRRrD3snGeHDDVirJLvL6EjvMN,Dj1dbaBGrXDSpr7gbeR4oAuhKqqP4gYxjK9M49bGTdQ6,458621.470041771,0.05
YFb4smN4k6whAWLRStc3hziJrq4Z16FXNAJ5QGg1fZk,HEJg2qFaHMenfiHdtW7zsgNAiDcmkUrX6eqSzUKHNdps,456175.082720716,0.05
3HACxZ7bYukBg9eMeSUfRhk3sxYMr78DNzHkvaaLqbc9,9oG9CbkzEowtkTRRDwDPjF2TUE7C7FsdqaA81f6VxwU1,452475.859065149,0.05
3g6n35hWT6gzqLKbfaRfeYzfrhzeARKjNzwz7vLqMgBC,3mJJXRtpnvDAAFDTAJrPo3N36bRRhkRcAa2WFUbY8U7D,450061.993455139,0.05
9V8SQ2WptickN96gq5EfE78kiggh9uCGZxgkeECGn1bQ,5kHvBV7fsPq4n8iGTTaRZJi2TPwLaw3ftqPgTA6M69kJ,448921.438886974,0.04
EH7utN1zNukaqr1GjQoJgJ2pQVnmbaFZMXXYNEgmbrKx,7feXhHYDr5ddgJ2VyKZrjPLB1pT8BQmqWyPxBbk1Fd4q,443081.367925838,0.04
A41u5LfZnx7PH2UeN2rqtrtVwqBA1FVANZFhpo4wziNd,Hzr6cpsxfckDYrPRXBjmB5hpiE79c7u9TowSNe5Qd4Lr,437823.168411994,0.04
Y7gns6NUQcWWkDkv2KU9fXdgLWPti3wcCM5dqjMsntj,3EANQJBhC4A6J2xArn4QpmhvPUpBLTwUtZV3J11QhKVG,434129.159216419,0.04
2ZCixf5qk8Rcyz28EjmjSmK4hYZubnP4MWz4ZMZrLJ8j,Ff8DMhsVQb4NqaS5PEM1h5VunHotZirZQSkogJGahvRW,433665.807402883,0.04
pLeq43RVh14ftkyZFNKZWksdfcR5F6gZa86oGJpySNG,397cmoWYqRSgT7R7RnsTrFh7Qwbvt4KiUkNewWSvZxgt,432754.048221029,0.04
FXJx9uymnzfPGoco2kkpZgBW1ZQVgPTMwfk1M9qubzsV,6afDMqgoMDNnfvxAPKLdreV1A1JUexfbGNgakxi4zN2g,428283.005368018,0.04
7wTgbgV9pn9FuwdrhQKZqpqeWobXuojiz1R5bjq4aYeB,6KboYn7LJfya3jtjp3PWihcbxLbWwk2CAVbvdijTm7Vz,424034.07848841,0.04
3Zz3KLHGLLq3U7x9WoFrS8yTgJffhJAyJNEh38Ex8ZJ3,GLLP5CwYRnv6TkuLj1Az6tntvfXEeFcf5rrNSU7Hn4Lh,416131.436165135,0.04
8q7fjjyYqvU7Nhwod45NSxp6vWaYoCzY8V2uXrm4KgJQ,AvvAEhszCZW2x5viFujeHhvBbt6dPsmK9pohbS321sdi,402658.349547693,0.04
6SthXmHb86pWoWCRqr9mNZCzLfyRAZRzqkzKdyJw5tiU,AMZCUJSwrFmevz1epZf3WjwvSRVapzDCXu8FHPk8G3Yc,399233.96918008,0.04
5CAAp9TvwumkgRkc2be8UMYxqAtksMSgByZTMNndpwc,EVw2JcXkTbDoo6iS6U3qwpGRqScUWtVJyoQNuhWFgjnn,394994.944013314,0.04
7EE37PcCYCekc98tUDMgGxf1GZS4XUeetE9fBt9KoHYf,2U9TkCAoUZdBbmiEqYVGavYbQeQo83C7dz32RdLhjWF6,394753.587559285,0.04
HicWw9RC5GVSpLMWszwyHpEd6K3RNnQWhtqD56RFHahv,45WghftYpbBbmS3DrRx2CUHsTRMo7CwZ44Ug3RdQzG2Y,391132.007275109,0.04
FCPgBQpv4HHe5idNvsEub89mT2DQwpeeo53PN3kUBTNS,7g9N3QkifN5pdf5z5Pw3UENuSvZGYA3MkExJbgTuarHV,390633.024109293,0.04
CRh72aopSc8L2N7CppUFKwG1f46ii83Dv6quVYu9NbKZ,8MsRFqv1w4sw4XVHxgo8VqKQD5WLaXAbxZqhHJNSqxPy,389678.428190271,0.04
4yfriagnV9D8NgjxGgeSqJzsH6zT6mPMjRnSkZHPBdK6,ECUbWBF1jF89ZFSSauuA99RqLV36GjDxGCCsn8wyw8CV,384475.542860429,0.04
35k3LVYuqZQTYxo4jATGy9kh1dgSGQ8UBRSypxN86Txf,AwADEk1hkmuq9MXKWPkCtTRsRJokVWnhRfnLgsxgLchr,371305.601365829,0.04
Drtq9RKeBpFbuwYvCTVQE56XHEUqqjQxjUBW842sevSG,nMpEDf5yHvBqenXpzAnxW9DnYxrK5Q9vWD8sMcA39sF,364005.918055251,0.04
5E9phcX2Te41rjhdDso4NZvacEjeGHgVGvLRkpjsbjLZ,3kGcKx1q7ztRYWhKCdG3Popj2vt7revHy9RiAvkAingZ,361143.290700747,0.04
Dw72CSVuVAs8qWwBK2aReBs7JXvPiKkKtb1rwdeTfzB6,A6GFt4BbCg6m9fV9ZGJ4mTMG2ReVJzJQ1uJhjE1ADDhi,358742.036962326,0.04
2e25SEYeKzZ7s3aD6hEeKGPuspGKX8mDqM9q9yZEGAzV,9YDdmnRxWPYVKCo6TsHmGHcGBjnrVNn73C9ZdrUENUPH,354054.426613328,0.04
2MpU13R8p2WQEq2oQRJgtyxAA7ZBLuyZcFmLEHnqiEVq,3jWTeEbW1RuiJX3hvPVHhMj21V4oHPwpYFRVFKfYZ1A7,341070.062065323,0.03
HTjoqb6bEHpRTvGe2dEgbw6nrbworcBkd5LzuTYNp62q,6r2f6kkXD9ghrbYExVtUEbP8WMn3eakrLv4jc3HdwcHK,333294.507854461,0.03
62drcaCtLAsxpCNhN1Q9nXsDYdPxjJfGbvoQJLpmuEag,Gg6UHoPM6rmKp9BAY3w2hs7ep8bmgEd1U34ZFXbpWuzh,332243.81790304,0.03
2NSWZBR2YmYsu3t5TRrekP8RUJkAX4VHvmifoDBFMa76,FrJ8JRHHeAfS5fi3v2zfHDE5rAsWUuF4JELK84PUCH9V,320862.625258919,0.03
JDWzQMGbqg49pX29fMe1qiFwC16jSE9eqXmkQST8chp1,9oKFYgrQhaXypk77ESHbWWtutdPqxcgqaJ4yfcBhNKKy,320113.04594613,0.03
H5pLvm3FfjgexhZxBxtiiKiKiBvqaG6hPbz5McgBJ62L,3yQFZ9uzpYR5uHgT9GfTKL5acpcus1JLb7Um4wDpfHxi,317326.251617848,0.03
9kcEoyKZUnV4d1U7825KfXzHjuvnNCfCpWD17kjFswWz,AYL4EVz6ovXBwhFXPdC7xLpDhTUEFr9dpC8yxFtDbeNm,314047.414514451,0.03
39Fjw9VLNHbZppfWrvmfRJgjrArzdkbFi1gtZQQx68R9,Da8uugVpceQ1e3FBbtiunjE2A3Ccrft5FyxUfuuimykQ,313973.103108477,0.03
8XASEqXjBLMuZuKkjbEvhyM5Mw94FGrG3Pvea3SUeRuo,GGvPTFxmWapNegp8hJaQYGsTbNaL8dnXoXVmw7xHbPym,312911.432575376,0.03
GWASDrFxmZZ9tR8x1W8SAf38sMKWQFgjKq7kSW2DUetD,DVpJks6XtBjnJgaa2nbnKMUsrPxCnj5pomVz2JTHK7Rc,312219.488601563,0.03
Ej6viaFRCU2TUNCUDtWpgiW5ZdUBEG5qdccpgVe57TLC,3FKe6SDmx8ZZ5A37s4N7HXpKXDpQgBZZLPedu9yY8Bxz,307787.137475303,0.03
2yaVAjhxF6iB9nESw5RX8xvZMqmXmh5Ja7EUJ5avLxyT,6vN3U6A3DeVWrmofqG8bpUmt5mE6BY6JBtKCGv9NiVis,306450.839009474,0.03
E593PhhtRseNsbqT5ppu9fgYoyWYM2sGoqpXvtFiPSzV,C5LX8A76QaUAZWZHr52gdgoPXt7aqyZjRGpKTnULSKeP,305507.172436457,0.03
5D9xG3iCMvJy5hSancJR2YF9gSEuBXtaipowERwNVeo5,EmndfPrnKoWiCfsABiLGsgof79TFxkCwpiUGh2cHQ9Fp,301291.764223365,0.03
24RvzYDUZyzKJwJFk3jxxFuBF6pR9hRH3Cspa3wXUV3n,GjakTqbs2Xo9mfYuPwpC7LT7UysN5cGe7vvh62Xbznds,291825.255710917,0.03
GFHNwKGxULgvmWBgJ7K9WjVuyRTm948kkFQgeo2y2wRU,8fQWsqCdKQxxFPjomiT1CTQB7v4TM96kkpzEz5opXv67,282858.420644953,0.03
Ao7o87UYTgper3Y5oqH3u2fWbRVRtBT3vDRQY4ANZ2xs,5LqAnWD4tW5fEEaMNsTbW2NxoMEG8LpTrMYKxejQEAfX,281421.729138158,0.03
DNsyFEBFRz2Eg9Vc9bHtoL8GVdhev4nEMMzpThsLvpXh,8MnBDeA9rDHz35c1fif3vGuALPdKbnStBWLoLqZtGEsG,272403.240296541,0.03
A7HCbRrzwb1JCghiTxYSv3GGZShruD6HKov7pB34AFPe,FnavBM2ZbHeZiiZHcRCjmUFLC97PHH2pt5CWzfamscsW,269156.69349879,0.03
6UpmxcTTneuXWsxniroBMAAdXyDg7RCu9oj7S4UJfGW,GfqEpAxuVkd5RTt4nfYrcYLw5oSEJHxpoBy8Y8tScPmg,262134.769729043,0.03
98yJaA5aHLNJqibpdRVCEophPVK9RFkrUCbeeDpm59sA,GFQMLqUKdR9BBS6c9ZwnmZK57ewQ3u7axqSwsh7wdJJR,258913.95129837,0.03
CtKHMjbQTfJCJiokJ16MaiTwgqi7DLd6YWoQmyjnCuH8,AQJRL7fnr8jbCX9fWvJLiqkbFNMVc4JVL22XXJGGgPNs,252165.993841805,0.03
5E57gXt3UdR9nF9GwUzzq5ACcriPLnoS5x8BJ739BLwR,FxMvNtuFDSuuXQkBSxHmCz4UYgjyRzZ6GHJUjhhSoT2B,252021.447860266,0.03
9if7WPknmJByh2hS7tgc2Nse4simq3X4bUaoySpCx7Rr,4gmzKJP4jtrmBQPTuPcf2jVNnZeNB9WPE1Xf2yFr9XHa,251975.685717515,0.03
BzPYgDXtYptAPTzsou6AoCBVnsvASbTfQNLzRjND3qtP,4XsRDNp5m7PGDyUoGFcXeUKwu5d2tWFwoxkRJje5CXXE,250186.474281644,0.03
8t7Yjym9NcMytxtaoMten5HSgVbdJpEoDsxHfzag4akK,3YMcmvVz4m9HWBm1ajiUAQNGzwV37uyNJt5d6jgeeTiH,250056.925739114,0.03
B2m1TBYWEFEiDMp2kScdjoVvYTmeA2TMxZ5zJtjA9aBg,6gnGtpMrNSqysRYj1Mqp9Z9Nf3nPH7XoZyyuGXSwJCAw,249548.811631874,0.02
B3ctgu9uT4NR8EGg1DYCgBFiQDYaDJFhgCKvXFKkWEf3,9Q96J5PrDwRNbXC3jNvNu6iRQtvX7C1ya5xBEow7T8bi,248609.901825423,0.02
BywL93pNqS6kQNGts3WEdWAGzHZnwaqN8cAKM68A3G5h,4vXzZyNFcRQuWo4UFMoDs9mG7t5dL97w8JA3jasoHHds,245116.340588142,0.02
3RSoWA1r6orGSpX74a5rdAj2SvTaPxcZ2rWVz2wWryiB,53oRi8KZzG4Aavufs1QeZJJ8BEiy8YFxeMxgVSFDQN8F,242172.624248052,0.02
8bvJUBZoekDR8s8KGCpDob9zueczB6uxUw2eU8uTHGL1,EXHsZnkHPUqqQmwkPiozdTzxVicN7fHpWQjBTo5kGBYY,237853.74347236,0.02
BDmHrvvLD5kJ1xdwqy22EtKNBSWQfoBRv1o8qErMAXDq,9GYFDRoydGAcv9yog5QCXqrW5iKpUbuPgGanwKdp1HEC,234210.038234116,0.02
Avv8Byv4Mz3Z3aw7BuwDoYeq7THNrdybwFPJe3DrNhNw,4zxqqt2EHkWGoG7qnPBfmc69CK9Ca1LhL7EurUp2YH9b,233587.438884536,0.02
6gtsucwxd7cbKN3VQnGL6V7hucPYgmCn8egRtjME4UiX,EymqNbin7hH1kyDoLWo96xuM4a1Yom155vc19ASvvYnu,233106.550271714,0.02
mP4tnNkwAtRLpSZG5CqcH3CVPJHgVw7XH3j6YRyayQP,6QFBeQL7bibr4EcP9P5YwrA8JfCG9KXCUoiPUGkKDBeU,229820.75379681,0.02
9kAyu4UmkiXJcyhzVpRHYRpvumUcMhgozcRcpsZDX5dD,DqN8R3GFjtekxtxxnzL4Lj4K8AxYuTFonxS9TrxkNDD4,227114.289122237,0.02
9MxqQkddSsA2TVa2CF4eePRhzzGJsWw9UUhZSkpMatU2,GHjkSvAp7qtEDLtmn2cdXQukV3C2Z6ccdMNVAjdGbQiB,225011.108913496,0.02
4y7ZoBcgW8JcSN99AD7Y3vtR3XdE8XBMftkaxqxih6kT,GPMELhSnNzUHUKjXqxXQ67FTfmRegQ4NrCGKAtC72Ds9,224368.831884221,0.02
2TExeNE4dY8AHPu8AgEF1S1jv5hnkosTU1giq6N6wLL8,2HPLae4eYeCZpJ4fTjLr1pbpCj3Kfip1AqCQbvw3b6CQ,224146.634564501,0.02
5RY7hQ6oykQ53xsSJ8zv21aAT2g8Y4pE4EzBgutQHohM,Dy14rFWSK4SJ9DcR92Foh8RU9dUW2AYRHU7xqMpXqzb7,222781.126552924,0.02
GPwJQzPjzd7deoFN16vy9GUuVZzxNa9AuaD7cGq3Cvr,DyWMENmN6VwEQqyRzLqkGefHweTQ2Ch3L6T1ErxdF357,222386.534788551,0.02
EimCc86GGZYHYKkbc7fkdENvDwJp2rFvRUAB4bpz7KoK,HR3gHzFXPLxPj5fYqfmS8tLieMJcqHzxkDzUpwFZ1LhN,221830.785572691,0.02
GBQSi6BMe86yL6e44HEJgPuLAm1F5N4X5KFD2kTyzLAU,CYyRWwBVMsi2DSzpvYsTYQAUToChYaKUdrXjB35UodJX,218172.775230334,0.02
334gpxqzX17my5tjBgUHSkA33QdUo3z7jDijehhGBD3e,8xwrPTiouXwTnqaLhC5939j1ByY2gV7ReVmYqq8PZe7p,214247.458913864,0.02
2ZHraExU7DLqRstjS3PMo6u1U1DDkqzSCFwi8VNAVJfn,BnZbe1UDAFW5WoHn1aVHXm73W5p8dUFHcN317vid4vFT,213516.550470839,0.02
8xxbk4Pd9bM6q8UpEJt6V2HVzRD7sDrNipbUVDYHbEA1,95wbaZpd4D88qNLeLZTawv6Ssr15ohVXBZP8AYoxVP3k,213452.152609878,0.02
H54Xecvhs1TBmGh21hQL3tsqdWzzcpTRhSJUHSHXC69d,8QNjhbkP6FT5JkpigrsGcCcu1Dq72Q2jNyJ4Tmit2B3Z,212623.387527237,0.02
DbdxdfK4KFg4BU34rmwPY9Fc5aVAUqoe56AH54RhjjTU,GM69e2scHjujiRnodXmvSEJLi9VvqgxtgYpL7vrWw9tn,211067.073633711,0.02
H56n2LoSg3zzxba9wCwc9wEuX4UVEBX5J9BCWPckFsXT,73ovSnYf8ubwJ2JXgpfYT6p3NrVgdC3JdQRswJ7u1VyE,209867.504030575,0.02
BXWsgFHv94ndHRWsEfQ1pNMhqnbqUyTKAt3U7YZPAbjn,HvUTPWFxm7j39TKeEkvVrYTRFxUtSF8ycfkVjvcn48xz,207880.311097316,0.02
JABPRPbTzdZc1kZ3xS2q9zJFoaGkRJ4UcD2YT7Xt19R8,6j2dzXoioLzCLWhv8i3DsCoXkB3SWL9TT16CfAaryno6,207206.445920629,0.02
3Z1rpBtjYCD1VNVPGyMKtX2jaCucXgJiCAKgtFuJo978,6rasbSGd4WotfFaomyaXQGJ6TpJhQ1xJSq8WbzHXX35p,206895.420788581,0.02
C6fCAyU4BtcKKVEn3xEuk4vvy7bDEGHaLxPM2wjPo2CN,7ttdACRptUkcrM8SfU5YBC5Dkc2UwjPHK5QpVCShWLjF,205142.239489745,0.02
DX1fYMd3C3SzeTixXpmAsE5rupnw237Us83PiWp4nUZx,fN9HCZSgcM3ZhWCpvrcsD8K43TmFpWRDmfKwyZpdTTj,204996.768309321,0.02
5vkoi9emMtSbb7oQE6j6iGP4VCxUXWUjbURHBTw9iBo,H4aZZw9Ykq3zCvTutQbjGTSmAFmSmFTDWtfeHXm8Bsb4,202377.1872611,0.02
2cjPWSYVNGSs2vtYqdvPSZ1pdEjhJgKJXYEToq8KjPtE,XDJ9EgcSS53nxMHRSGX1h8ZA2fS2p2y2xogrW6Arxbp,201866.785477403,0.02
DESDZMahDhCvfY1edDmDGKuXSkqF3G2ge1WCkk4Jzc7G,HLSwD7ekjJnxhWa242WNNCG45P7H1EwwiLMmzkxW9Gdf,200962.746805607,0.02
JBoMBAG13cNeqToew2SwhsP13TLA3h2PcmV7z4LWn8Pn,BX4XFfW4ai1PntjN9MUho5ezNae6NYxBTQSL3kTk8Upm,200000,0.02
52PyYcRsvRpfHbs1ra64rHYH4uAeNUfzcdqMx98CtbzK,5dUT3rBvuevXV8wYnDLdMYc8f6RxdWBfR3twbEqv6ZtF,195308.604781308,0.02
14HZ2A133DQVUAzu9Vh1bnAQYNRPFqx2aQr71e1qto6y,HgdznSj4PD7eNYW3aHR6SAifcNujunaWkGdYZhe7Mqko,194230.991417614,0.02
AipZZVKinyRf51xUCbv7SyMEzG3zRKxUGjMJWrLx4dXx,BEnqYuYbyHQUy9hq3xSUgHqYq5iavAcpTW5FZDuiX1aN,193123.620075565,0.02
5GRyG41aid9dDLNxAnCQddBK4zpB1VksayzMnBBzDaw7,GqGfdvQhLSD2jYR4iYPAv1uNHQaTJxsDmDfDhUqfv7md,191798.155855132,0.02
BACR9awoU3Mx4LRFrHnhvVu67gZ2QFtsWHf3ynLr8Qk5,Boxf7PgYPkaiQuoC5HUKx8pDMUmr1T7FfWEa296pf1mF,190786.767219324,0.02
DzJKgx1wJ1ZNMAh2XZ7E5XgheDUKLczAvy82LZrJtQfJ,DUNTXCZpPWBX3LNsmPkxFKVe5hnS62UKRJDDJQCuL8GL,185848.731028151,0.02
6Zmu9jSoTvkeX3dvidGoy2AgweJrsxEMhUCKqi7QXZRN,9e1rNja56yxUPsXMojeEU91ScJWvzHMmxVBBRaPX8FHL,184926.162422253,0.02
4X3acm5krntaaTpMetsBx9tut9FM7sby1v32abDt85ZS,2Wg85fmmi8E9nJpgKqG1HSs6iWoeUjXWcgt5CWqQnKCo,184586.142675086,0.02
4qctTrqtZbpBFVGwnYG7m45Z3TFLAL25DPYH53D9AqEX,EAm4d3chG6nBAAEUbgccbVitsJMdqNikCqxx1AaufGJ5,182154.402332747,0.02
